0	চেঙ্গিস খান কোন বংশের রাজা ছিলেন ?
1	অপারেশন জ্যাকপটের কর্নেল কে ছিলেন ?
2	কত সালে সর্বভারতীয় তৃণমূল কংগ্রেসের প্রতিষ্ঠা হয় ?
5	মোহনদাস করমচাঁদ গান্ধী বা মহাত্মা গান্ধীর জন্ম ভারতবর্ষের কোথায় হয় ?
6	রামকৃষ্ণ পরমহংসের জন্ম কবে হয় ?
8	ভারতীয় লেখক আর. কে. নারায়ণ কবে জন্মগ্রহণ করেন ?
9	অর্থনীতির জনক কাকে বলা হয় ?
10	গায়িকা ভেনিসা অ্যানা হাডজেন্সের দ্বিতীয় অ্যালবামটির নাম কী ?
11	দ্য লাঞ্চবক্স চলচ্চিত্রটির নির্মাতা কে ?
12	বাংলাদেশের অষ্টম রাষ্ট্রপতি জিয়াউর রহমানের বাবার নাম কী ?
13	পানীয় জলে আর্সেনিক থাকলে তা মানব দেহে কী ক্ষতি করে ?
14	কলকাতার জাতীয় গ্রন্থাগারটির সর্বপ্রথম মালিক কে ছিলেন ?
15	আচেহ সালতানাতের প্রথম সুলতান কে ছিলেন ?
16	বাইজেন্টাইন সাম্রাজ্যের পতন কবে ঘটে ?
17	কেনিয়ার রাজধানী কোনটি ?
18	আয়তনের দিক থেকে বাংলাদেশ বিশ্বের কততম দেশ ?
19	জেরুসালেম শহরটি কত সালে ইউনেস্কোর বিশ্ব ঐতিহ্যবাহী স্থান হিসেবে তালিকাভুক্ত হয়েছিল ?
20	আলেকজান্ডার গ্রাহাম বেল কোন দেশের নাগরিক ছিলেন ?
22	মুর্শিদাবাদ জেলা কয়টি মহকুমা নিয়ে গঠিত ?
24	অতিনবতারা কে প্রথম পর্যবেক্ষণ করেন ?
25	ব্লেড কোন ধাতু দ্বারা তৈরি হয় ?
26	গুপ্ত সাম্রাজ্যের প্রতিষ্ঠা কবে হয় ?
27	ডিএনএ-এর মধ্যে কি জিন থাকে ?
28	শক্তি চট্টোপাধ্যায়ের লেখা প্রথম উপন্যাসের নাম কী ?
29	বিশ্বের প্রথম চলচ্চিত্রটি কোন দেশে নির্মিত হয় ?
30	বাঙালি রাজনীতবিদ শামসুল হক কবে জন্মগ্রহণ করেন ?
31	মেসোপটেমিয়া সভ্যতাটি কোন নদীর তীরে গড়ে উঠেছিল ?
32	সাইমন ড্রিং কোন দেশের নাগরিক ছিলেন ?
33	কুসংস্কার শব্দটির উৎস কোন শব্দ থেকে ?
