1	ما هي المسألة الشرقية ؟
2	كم تبعد بيت لحم على القدس؟
3	متى ظهرت جماعة الاخوان المسلمين في سوريا؟
5	ما هي ضريبة الدخل ؟
6	ماهي وظيفة الهايبوثالامس ؟
7	متى بدأت سياسة الطفل الواحد في الصين؟
8	ما هو الدوبامين ؟
10	متى نشأ حزب العمال الكردستاني؟
11	متى تولى البابا فرنسيس المنصب؟
12	ماهو الأمن البشري ؟
13	ما هي درجة حموضة التربة؟
14	أين يقع نهر سانت لورانس؟
15	كم يبلغ ارتقاع مأذنة مسجد الحسن الثاني؟
16	ما هي حساسية الجلوتين؟
17	أين وقعت معركة المنصورة؟
18	ما هي اللغة الرسمية في إمارة أندورا؟
19	متى ولد  المغني دكتور دري؟
20	هل يمكن ان ينقل البعوض الامراض ؟
22	في أي عام توفي العالم هايزنبيرغ؟
23	أين تقع منظمة حقوق الإنسان؟
24	هل دمرت القنبلة الذرية مدينة هيروشيما؟
25	ما هي الهندسة الداخلية؟
26	من هو مؤسس الاحمدية؟
27	ما هو الأرخبيل ؟
28	ما مساحة قطاع بولندا ؟
33	ما هي القومية التي تشكل غالبية سكان محافظة دياربكر؟
36	متى تأسست أكاديمية التنمية التعليمية؟
37	متى وقع انقلاب أديب الشيشكلي في سوريا؟
38	ما هي المسافة بين مكّة و المدينة؟
39	أين تقع أفغانيستان ؟
40	من هو مبعوث الامم المتحدة إلى سوريا ؟
41	متى ولد تشارلز داروين ؟
43	متى تم انتاج اول محرك نفاث؟
44	من هو امل دنقل ؟
45	أين تقع بلدة شونينغن؟
46	متى عاش بريمو دي ريفيرا؟
48	متى تأسس إتحاد كأس العالم لكرة القدم ؟
49	من هو مؤسس الفكر العلماني ؟
50	في أي عام تم إسقاط القنبلة النووية علي مدينة هيروشيما ؟
51	ماهي الدول المجاورة لي بلغاريا؟
53	كم طول السواحل الأردنية؟
54	متى تأسست شركة إرماتشي الإيطالية؟
55	ما نسبة المسيحيين في  التشيك؟
56	ما هي المدرسة الطبيعية ؟
58	ماهو أكبر الشرايين حجما ًفي جسم الإنسان؟
59	أين تقع الغدة الزعترية؟
61	ماهي مساحة  الـجمهورية البولندية؟
62	متى حصل ثيودور روزفلت على جائزة نوبل للسلام؟
63	ما هو الجهاز الهضمي ؟
64	ما هي الديانة الصابئية؟
66	متى تم انفصال سوريا و مصر ؟
68	هل رسالة بطرس الثانية هي أحد أسفار العهد الجديد؟
69	متى تم تهجير يهود اليمن الى اسرائيل ؟
71	هل يسبب نقص فيتامين K خلل في تخثر الدم؟
72	ما هي عاصمة تيمور الشرقية؟
74	متى ولدة فراوكه بيتري ؟
75	تحت سيطرة من كانت الشام قبل دخول العرب المسلمين إليها؟
76	متى ولد بيل غيتس؟
78	متى تم اغتيال الصحفي والإعلامي السعودي جمال خاشقجي؟
79	ما هي مقدونيا القديمة ؟
80	من هو رئيس منظمة اليونسكو ؟
81	هل القصف الذرّي على هيروشيما وناجازاكي  هو السبب  الرئيسي لإنهاء  الحرب العالمية الثانية؟
82	هل النساء أكثر عرضة للإصابة بهشاشة العظام؟
83	ماهو اسم أول صحيفة عربية؟
86	متى ولد ابن النفيس ؟
87	اين يوجد متحف سفينة الفاسا؟
89	كم إمتدت الحضارة  الإغريقية القديمة؟
90	أين يقع وادي مِنى؟
91	مدرسة طليطلة للمترجمين؟
92	أين ولد نابليون بونابرت الأول ؟
94	متى تأسس حزب الاستقلال الفلسطيني؟
95	كم متر يوجد في واحد كيلومتر ؟
96	متى وقعت حرب فيتنام ؟
99	في أية سورة توجد أية الكرسي؟
100	من رئيس الولايات المتحدة الأميريكية الذي غزى العراق؟
101	ماهي رائداة الشركة الأوروبية للصناعات الجوية في عام 2009 ؟
102	أي معركة قادها موحا أوحمو الزياني  التي أباد فيها الكثير من قوات الجيش الفرنسي؟
103	ماهى كيمياء الكم التقديرة ؟
105	اين تقع جزر السيشل؟
106	متى تأسست شركة أتاري لإنتاج أجهزة الالعاب الإلكترونية؟
109	أين تقع جبال الألب؟
111	كم عدد الدول التي شاركت في الحرب العالمية الثانية؟
113	ما هو مرض الكوليرا ؟
114	ما هي الوان علم البوسنة و الهرسك ؟
115	كيف يتم توليد الطاقة بالرياح ؟
116	ما هو الحثّ الكهرومغناطيسي ؟
117	متى ولد أوتو إدوارد بسمارك ؟
119	الستيرويد هو مركب عضوي؟
120	ما هو الموطن الأصلي للنعامة؟
121	من هو أول نائب عربي في الكونغرس الأمريكي؟
122	متى  تولت  أول  إمرأة  الرئاسة في دولة  إفريقية؟
123	من هو ياقوت الحموي؟
124	في أي دولة تقع مدينة ميناب؟
127	من هو رأفت الهجان ؟
128	هل توجد احصائية رسيمة لعدد اليهود في المغرب ؟
129	من هي سامية عبو؟
