1769696#0	¿Cuáles son las principales plantas fanerógamas?
919762#0	¿Qué significa Cuauhtémoc?
287784#0	¿Quién fue George Armstrong Custer?
7576513#0	¿Cuál es la iglesia más antigua de Polonia?
1166707#0	¿Cuál es la diferencia entre las tormentas eléctricas y los tornados?
4624784#0	¿Cuál es la primera película argentina?
2151128#0	¿Cuántas sagas tiene Star Wars?
6167896#0	¿Cuántas personas hablan náhuatl hoy en día?
9203164#0	¿Cuáles son las políticas de privacidad de datos de Estados Unidos?
5810974#0	¿Cómo calcular el vértice de un triángulo?
7021103#0	¿Hay muchos castillos en España?
8885481#0	¿Cuál es el régimen político de Rumania?
3127270#0	¿Cuándo se realizó el primer experimento de psicología?
3703386#0	¿Cuántas copias de Matarolls se han vendido hasta la fecha?
7212242#0	¿Qué tratamientos contra el cáncer existen?
9485067#0	¿Cuántas medallas de oro olímpicas tiene Chile?
839261#0	¿En qué categorías de carreras de autos participó Ayrton Senna?
9411763#0	¿Cómo se formó España?
9559461#0	¿Qué es el programa “Hambre Cero” de Brasil?
171898#0	¿Por qué México perdió Los Ángeles ante Estados Unidos?
1069523#0	¿Qué es “Progressive Metal”?
59120#0	¿Por qué Nintendo se fue de Brasil?
8760566#0	¿Evolucionó el higo?
6230270#0	¿Hay restaurantes en el Mercado Central de Adelaide en Australia?
1021527#0	¿Cómo se eligen los nominados a los Billboard Music Awards?
5586452#0	¿Cuáles son las competiciones de rugby más importantes del mundo?
1906881#0	¿Cuánto duró el Imperio Otomano?
4121983#0	¿Qué importancia tuvo el reinado de Amadeo I en España?
1223683#0	¿Dónde se habla griego?
9054608#0	¿En cuántos países está disponible Netflix?
371625#0	¿Qué tipos de auroras hay en el mundo?
7801302#0	¿Cómo se nombran los dinosaurios?
9579818#0	¿Cuál es la diferencia entre la medicina oriental y la occidental?
10081252#0	¿Dónde están los mayores recursos hídricos del mundo?
6919987#0	¿Cuál fue la primera orquestra?
45463#0	¿Es lo mismo español y castellano?
3077454#0	¿Cómo curar las cataratas?
3492591#0	¿Cómo tratar el virus del Ébola?
1050455#0	¿Cuál es la historia de la extrema derecha en Francia?
6402798#0	¿Qué estudiar para ser escenógrafo profesional?
4928365#0	¿Quién es Lou Reed?
1443927#0	¿Qué entidad elige los sitios del Patrimonio Mundial?
9043126#0	¿Cómo medir una cumbre?
9391391#0	¿Cuáles son los pueblos originarios de Islandia?
5420185#0	¿En qué países hay cañones submarinos?
5453547#0	¿Por qué se clasifica un vehículo 4x4?
245097#0	¿Cuánto tiempo hiberna un oso polar?
8345132#0	¿Cuál es el impacto de las fake news en las elecciones latinoamericanas?
2620364#0	¿Venezuela tiene autonomía en el suministro de agua potable?
2221567#0	¿Cómo surgió el Jazz?
1086665#0	¿Cuándo se construyó el Mirador de La Peña?
10000698#0	¿Cómo se forman los nombres coreanos?
6180169#0	¿A qué país pertenece la Tierra del Fuego?
6003117#0	¿Quiénes son los maoríes?
6288577#0	¿Qué empresas forman parte del grupo Fox?
9169471#0	¿Cuál es la diferencia entre estadounidense y americano?
10111960#0	¿Qué recetas se pueden hacer con manzanas?
1244126#0	¿Dónde se creó el béisbol?
9271716#0	¿Por qué el diamante es tan caro?
9935176#0	¿A qué edad debutó Shirley Temple?
8864660#0	¿Cómo se puede pagar en el autobús en Alicante?
6417083#0	¿Qué biomas hay en Brasil?
8598581#0	¿Por qué se hablan tantos idiomas en india?
9745980#0	¿Cuántos países limitan con Tailandia?
