0	Which NFL team represented the AFC at Super Bowl 50?
1	Which NFL team represented the NFC at Super Bowl 50?
2	Where did Super Bowl 50 take place?
3	Which NFL team won Super Bowl 50?
4	What color was used to emphasize the 50th anniversary of the Super Bowl?
7	What is the AFC short for?
9	What does AFC stand for?
10	What day was the Super Bowl played on?
11	Who won Super Bowl 50?
12	What venue did Super Bowl 50 take place in?
13	What city did Super Bowl 50 take place in?
14	If Roman numerals were used, what would Super Bowl 50 have been called?
15	Super Bowl 50 decided the NFL champion for what season?
16	What year did the Denver Broncos secure a Super Bowl title for the third time?
17	What city did Super Bowl 50 take place in?
18	What stadium did Super Bowl 50 take place in?
19	What was the final score of Super Bowl 50?
21	What year was Super Bowl 50?
22	What team was the AFC champion?
23	What team was the NFC champion?
24	Who won Super Bowl 50?
25	Super Bowl 50 determined the NFL champion for what season?
26	Which team won Super Bowl 50.
27	Where was Super Bowl 50 held?
28	The name of the NFL championship game is?
29	What 2015 NFL team one the AFC playoff?
30	Which Carolina Panthers player was named Most Valuable Player?
31	How many appearances have the Denver Broncos made in the Super Bowl?
32	What year was the Carolina Panthers franchise founded?
33	What team did the Panthers defeat?
34	Who did the Broncos prevent from going to the Super Bowl?
35	Who did the Panthers beat in the NFC Championship Game?
36	Who lost to the Broncos in the AFC Championship?
37	Who were the defending Super Bowl champions?
38	How many teams have been in the Super Bowl eight times?
39	Who was this season's NFL MVP?
41	Which Carolina Panthers team member was picked as the team's MVP in 2015?
43	How many teams have played in the Super Bowl eight times?
44	Which team did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50?
45	Who is the quarterback for the Panthers?
46	Who did Carolina beat in the NFC championship game?
47	How many times have the Panthers been in the Super Bowl?
48	Who did Denver beat in the AFC championship?
50	Who did Denver beat in the 2015 AFC Championship game?
51	Who did the Carolina Panthers beat in the 2015 NFC Championship game?
52	Who was the 2015 NFL MVP?
53	Who did the Panthers beat to become the NFC champs?
54	What year did the Carolina Panthers form?
61	How many times was Cam Newton sacked?
64	How many fumbles did Von Miller force?
65	Who was given the esteemed status of MVP for Super Bowl 50?
66	What position does Von Miller play for the Denver Broncos?
71	How many times was Cam Newton sacked in Super Bowl 50?
72	How many times did the Denver defense force Newton into turnovers?
74	Who was the Most Valuable Player of Super Bowl 50?
76	How many times was the Panthers' quarterback sacked?
80	Which network broadcasted Super Bowl 50 in the U.S.?
81	What was the average cost for a 30 second commercial during Super Bowl 50?
82	Which group headlined the Super Bowl 50 halftime show?
84	At which Super Bowl did Beyonce headline the halftime show?
85	Who was the broadcaster for Super Bowl 50 in the United States?
86	What was the average cost of a 30-second commercial?
87	What halftime performer previously headlined Super Bowl XLVII?
88	What halftime performer previously headlined Super Bowl XLVIII?
89	Who was the main performer at this year's halftime show?
90	Which network broadcasted the 50th Super Bowl game?
91	What was the average cost for a TV ad lasting 30 seconds during Super Bowl 50?
92	Who was the male singer who performed as a special guest during Super Bowl 50?
94	What station aired the Super Bowl?
96	What band headlined half-time during Super Bowl 50?
97	What two artists came out with Coldplay during the half-time show?
98	Who broadcast the Super Bowl on TV?
99	Who headlined the halftime show for Super Bowl 50?
101	Which Super Bowl halftime show did Beyoncé headline?
103	Who lead the Super Bowl 50 halftime performance?
105	What performer lead the Super Bowl XLVIII halftime show?
106	Who was the NFL Commissioner in early 2012?
107	Which Super Bowl did Roger Goodell speak about?
108	In what year did Roger Goodell call Super Bowl 50 'an important game for us as a league'?
109	Who is the Commissioner of the National Football League?
111	Who was the commissioner of the NFL in 2012?
112	Who if the commissioner of the NFL?
113	Who is the commissioner of the NFL?
115	What one word did the NFL commissioner use to describe what Super Bowl 50 was intended to be?
117	Which Louisiana venue was one of three considered for Super Bowl 50?
118	Which Florida venue was one of three considered for Super Bowl 50?
119	Which California venue was one of three considered for Super Bowl 50?
120	What venue in Miami was a candidate for the site of Super Bowl 50?
122	What is the name of San Francisco's stadium when looked at as a possibility for Super Bowl 50?
123	What was the name of New Orleans' superdome at the time that Super Bowl 50 took place?
124	What was the given name of Miami's stadium at the time of Super Bowl 50?
127	One of the sites, Merceds-Benz Superdome, is located where?
128	What is the name of the stadium in Miami that was considered?
129	What was the third city that was considered?
130	What is the name of the stadium in San Francisco Bay Area?
131	What Florida stadium was considered for Super Bowl 50?
132	What New Orleans stadium was considered for Super Bowl 50?
133	What is the name of the stadium where Super Bowl 50 was played?
135	How many times has the South Florida/Miami area hosted the Super Bowl?
136	What was the most recent Super Bowl hosted in the South Florida/Miami area?
137	When was the most recent Super Bowl hosted in the South Florida/Miami area?
138	When did the San Francisco Bay area last host the Super Bowl?
141	In what venue did Super Bowl XIX take place?
143	In what year was the Super Bowl last held in the Miami/South Florida area?
144	How many times has a Super Bowl taken place at Miami's Sun Life Stadium?
145	What was the last Super Bowl that took place at Sun Life Stadium in Miami?
148	Prior to this consideration, when did San Francisco last host a Super Bowl?
149	What other city has hosted the Super Bowl ten times?
151	How many times prios has the Sun Life Stadium had Super Bowls?
152	What city is tied with Miami for hosting the Super Bowl?
153	When was the last time San Francisco hosted a Super Bowl?
156	Who voted on the venue for Super Bowl 50?
157	When did Lev's Stadium open?
158	How much did it cost to build Levi's Stadium?
159	What California city last hosted the Super Bowl?
160	Where did the spring meetings of the NFL owners take place?
162	How much did it cost to build Levi's Stadium?
163	Prior to Super Bowl 50, what was the last Super Bowl in California?
164	In what city did the last Super Bowl in California occur?
166	When did Levi's stadium open to the public?
167	How much did it cost to build the stadium where Super Bowl 50 was played?
168	What year did a Super Bowl play in the bay area around San Francisco, prior to Super Bowl 50?
169	Which Super Bowl was hosted in San Diego in 2003?
171	When did Levi's Stadium open?
172	When was the last Super Bowl in California?
175	When did Levi's Stadium open?
176	How much did Levi's Stadium cost?
177	When was the last time California hosted a Super Bowl?
178	Who coached each Super Bowl 50 participant in their most recent Super Bowl appearance prior to Super Bowl 50?
181	Which team in Super Bowl 50 had a 15-1 record?
182	What was the last Super Bowl the Broncos participated in?
183	Who was the head coach of the Broncos in Super Bowl XLVIII?
186	What was the first Super Bowl that the Carolina Panthers played in?
187	How many teams can boast a 15–1 regular season record?
188	What seed was the Carolina Panthers?
189	What seed was the Denver Broncos?
190	Prior to Super Bowl 50, when were the Broncos last there?
191	Prior to Super Bowl 50, when were the Carolina Panthers last there?
192	How many teams have had a 15-1 record for the regular season?
194	How many teams up to Super Bowl 50 have been to the championship game eight times?
195	Before Super Bowl 50, what was the coach's name that coached both teams for their last Super Bowl appearances?
196	Whic Carolina Panthers running back was waived?
197	Which Carolina Panthers wide receiver suffered a torn ACL before the season began?
199	In what year did the NFL switch to a 16-game regular season?
200	Who had the best record in the NFC?
202	How many Panthers were designated All-Pro?
203	What Panther tore his ACL in the preseason?
204	What year did the league begin having schedules with 16 games in them?
206	When did the Packers arrive at a record of 13-0?
208	Which player did the Panthers lose to an ACL injury in a preseason game?
209	Which running back did the Panthers waive?
210	When did the NFL start their 16 game seasons?
213	When did the league go from 15 to 16 games in the regular season?
214	What team had the best start ever in the NFL?
217	How many total touchdowns did Cam Newton score?
225	Which Panthers RB scored 6 TDs in the 13 games leading up to Super Bowl 50?
227	Who is the quarterback for the Carolina Panthers?
233	How many touchdowns did Newton get in the 2015 season?
247	Who had five sacks in nine games as a Carolina Panthers starter?
250	Who is the head coach of the Broncos?
252	Who did Peyton Manning play for as a rookie?
253	Who did the Broncos play in the last week of the regular season?
254	Who is Denver's defensive coordinator?
256	What is the name of the Bronco's head coach, who was hired after John Fox?
257	What was the first team Peyton Manning began playing for?
259	In the 10th week of the 2015 season, what injury was Peyton Manning dealing with?
260	When John Fox left as head coach for the Broncos, who replaced him?
261	Who was the quarterback for the Broncos 2015 season?
265	What coach left the Broncos after the season prior to Super Bowl 50?
266	According to game stats, which Super Bowl 50 quarterback had his worst year since his first season as a player in the NFL?
268	What foot was injured on Manning that sidelined him in week 10?
269	Who was the defensive coordinator for the Broncos in 2015?
271	How many picks did Peyton Manning throw in the season?
272	Who registered the most receptions on the Broncos?
279	What position does Demaryius Thomas play?
282	Who led the Broncos with 105 receptions?
293	What position does DeMarcus currently play?
294	What position does Brandon Marshall currently play?
296	How many points did the Broncos defense allow their opponents to get?
297	Which linebacker had the most sacks on the team?
298	Which linebacker led the Broncos in tackles?
303	Who lost to the Panthers in the divisional round of the playoffs?
304	Who did the Panthers face in the NFC Championship Game?
