5455987#0	月球到地球的距离是多少？
1901870#0	郑州市位于中国哪个省？
5061019#0	彩虹有几种颜色？
1176286#0	唐朝的开国皇帝是谁？
1855#0	法国总统是谁？
4511218#0	孙子兵法是谁的著作？
3429226#0	松鼠喜欢吃什么？
2792213#0	东京有哪些特色温泉？
5544144#0	缅甸盛产哪些水果？
986470#0	四川美食有哪些？
1099346#0	哪个国家世界石油储量最丰富?
7125330#0	河南省内流经哪些河流？
392494#0	新几内亚位于哪个大洲？
123481#0	非洲有哪些国家讲法语？
3307987#0	南海有哪些岛礁？
3178735#0	中国移动电话的号码是多少位数字？
7796414#0	2000夏季奥运会在哪里举办？
7191136#0	俄罗斯国土面积有多大？
7686564#0	法国首都是什么?
99150#0	古典音乐有哪些流派？
7855700#0	昆仑山脉有多长？
55750#0	黄河流经多少个省份？
5054814#0	美国首都是哪个城市？
3141003#0	什么是康奈尔笔记法？
95214#0	中国的人口政策有哪些？
4492687#0	上一次狮子座流星雨发生在什么时间？
201520#0	纽约人口有多少？
915309#0	罗马尼亚首都是什么？
377528#0	宝马有哪些经典车型？
2823291#0	加拿大有多少个省？
1456594#0	南美最大的森林是什么？
7363147#0	福建最高的山峰是什么？
3798264#0	美国西海岸有哪些大城市？
6254216#0	联合国秘书长是谁？
983599#0	西藏平均海拔是多少米？
109770#0	清华大学什么时候成立的？
986345#0	哪些河流流经云南？
3443100#0	加拿大的国旗上是什么植物？
649833#0	德国著名物理学家有哪些？
7167981#0	北海道面积有多大？
737333#0	穆罕默德出生在哪年？
459580#0	西藏著名佛教寺庙有哪些？
3470825#0	律师种类有哪些？
5473027#0	APP开发框架有哪些？
6643007#0	越南总人口有多少？
5394127#0	西西里的美丽传说女主角是谁？
4040#0	哪些著名大学位于伦敦？
1624827#0	unix系统有哪些特点？
1403313#0	英国王室有哪些成员？
6471242#0	韩国知名公司有哪些？
3772100#0	日本人气最高的偶像团体是什么？
5767164#0	工商银行2020年的市值是多少？
3183390#0	哪些日本作家获得过诺贝尔文学奖？
7737289#0	江西有哪些美食？
1854369#0	山东省的主要农作物有哪些？
1041302#0	碳元素的质子数是多少？
2946164#0	印度面积有多大？
1474070#0	五角大楼位于美国哪一城市？
257669#0	清代小说可以分为哪些类型？
7528645#0	上海有哪些知名的外资企业？
1582823#0	棒球比赛的规则有哪些？
741585#0	行星探测经历了哪些环节？
1780735#0	最高级别的赛车比赛有哪些？
2964872#0	菲律宾的首都在哪里？
2920671#0	乌克兰的国土面积有多大？
2897288#0	鲸鱼最早出现在哪个时代？
1712324#0	印度的种姓等级有哪些？
4714055#0	荷兰的经济支柱产业有哪些？
5921248#0	迈阿密大学世界排名多少？
5091392#0	火遍世界的西班牙歌曲有哪些？
1050376#0	中国有哪些知名的摇滚乐队？
2752173#0	张学友有哪些知名粤语歌？
7288545#0	华盛顿有哪些金融机构？
31232#0	天津快板经历了哪些发展历程？
24673#0	鲁滨逊漂流记中星期五是谁？
575160#0	香港有哪些知名银行？
740457#0	中国民航企业有哪些？
757273#0	四大宗教有哪些？
6925027#0	西南交通大学位于哪一城市？
3952456#0	世界上最长的蛇是哪一种类？
1578431#0	中国有哪些漫改动画？
328609#0	美国有哪些交通路线？
1848596#0	唐代与哪些国家有贸易往来？
4013190#0	福州市有多少学生？
7792375#0	伦敦有哪些演员？
5966653#0	德国有哪些美食？
7593083#0	中国引入了哪些韩国电视剧？
68360#0	普鲁士末代君主是谁？
7689861#0	满洲旗分有哪些？
41928#0	中国有哪些物理学家？
33944#0	希腊神话十二主神有谁？
1498838#0	可再生原料有哪些？
1781261#0	日本有哪些珍贵植物？
6336325#0	台湾有哪些小说家？
1695151#0	西沙群岛位于哪里？
7873063#0	英国有哪些军队？
1406694#0	通用汽车有哪些品牌？
109962#0	氨基酸有哪些化学性质？
1243382#0	中国发射过哪些卫星？
1431774#0	俄罗斯人口多少？
678040#0	冰河时期结束的原因是什么？
4251570#0	广东省有哪些大学？
684042#0	西班牙殖民国家有哪些？
808380#0	中文有哪些语态？
594049#0	意大利属于什么气候？
4011514#0	美国有哪些乡村音乐歌曲？
347832#0	清朝最后一任皇帝是谁？
2787210#0	四川有哪些城镇？
1283537#0	北京有哪些银行总部？
3184213#0	美国有哪些男演员？
6933548#0	日本有哪些游戏公司？
5071284#0	四川人口多少？
7352779#0	中国第一条铁路是哪一条？
3123784#0	联合国安理会常任理事国有哪些？
73165#0	鸟脚亚目恐龙有哪些？
4244765#0	苏联最后一任领导人是谁？
5582161#0	中国最早的大学是哪一所？
257851#0	香港大学与哪些国家有合作项目？
274006#0	日本有哪些娱乐公司？
7358555#0	美国最大的并购案是什么？
106465#0	《人民日报》的创始人是谁？
650231#0	利物浦球队有哪些选手？
88663#0	佛山的人口是多少？
5540075#0	日本有哪些摇滚乐队？
3126841#0	日本有哪些樱花种类？
1793004#0	线上教育有哪些平台？
4801236#0	中国有哪些数学家？
6495635#0	英国歌手艾薇儿有哪些代表作？
7535683#0	好莱坞走出了哪些国际巨星？
5971511#0	中国世界杯出线是哪一年？
6956478#0	挪威属于哪一大洲？
2958414#0	罗马天主教会现任教皇是谁？
7083300#0	俄罗斯军队的军衔制度有哪些？
290080#0	老挝的国宝是什么动物？
4431760#0	马来西亚有哪些华人聚集区？
146494#0	芬兰的领导人是谁？
7327432#0	法国皇室信仰什么宗教？
659656#0	好莱坞有哪些战争电影？
5247728#0	美国有哪些脱口秀演员？
7350848#0	北京市有哪些高铁站？
995876#0	贵州有什么气候特点？
5299027#0	海南省有哪些对外贸易政策？
3898976#0	纪录片《舌尖上的中国》在哪个平台播出？
2957042#0	汉语词汇谐音有什么意思？
3905416#0	温带海水有什么鱼群？
3825678#0	中国共产党第二代领导核心是谁？
6661892#0	浙江省丽水市人口有多少？
4793197#0	巴拉圭国旗有哪几种颜色？
3449090#0	重庆有哪些高速公路？
6717266#0	2022年冬季奥林匹克运动会在哪里举办？
3726493#0	韩国有哪些电视剧编剧？
13705#0	甘肃省简称什么？
5762533#0	台湾地形有哪些特征？
3076754#0	美国最大的城市是哪里？
1330129#0	有哪些知名的古典钢琴家？
5980019#0	围棋在哪些国家流行？
411901#0	日本有哪些小说家？
6076762#0	科举制有哪些考试形式？
534035#0	中央人民政府组成部门有哪些？
2957558#0	罗马尼亚在哪一大洲？
5245338#0	美国有哪些全球联赛？
4446065#0	美国铸币局首任总监是谁？
1208899#0	巴基斯坦总人口多少？
1646009#0	中华人民共和国有哪些省份？
4736513#0	洪都拉斯有哪些气候特征？
3505522#0	中国最大的博物馆在哪里？
282881#0	伊朗有哪些民族？
790987#0	DNA有哪些主要类别？
890240#0	台湾有哪些电视台？
926436#0	广州中医药大学有多少博士点？
4034246#0	电子设备包括哪些范围？
7274658#0	波罗的海有哪些沿岸国家？
4954101#0	最早的共产主义政党是哪个？
5219931#0	苏联有哪些飞行器？
730610#0	鲸偶蹄目有哪些下级分类？
1717373#0	澳大利亚人口多少？
6807980#0	北宋武官官职称谓有哪些？
7579134#0	中国有哪些旅游公司？
7853176#0	东南亚包括哪些国家？
7821659#0	云南省有哪些植物？
6207083#0	第一次世界大战有哪些战败国？
227880#0	世界最早的邮轮由哪一国家建造？
7209453#0	中国三国时期包括哪些国家？
1059236#0	犹太教可以分为哪些教派？
7813819#0	日本有哪些船公司？
7846184#0	中国在美国哪一城市设置大使馆？
5301460#0	法国有哪些葡萄酒品牌？
3430085#0	哪些国家参与了第二次世界大战？
6194320#0	哪些发达国家参与联合国安理会？
6925934#0	中国有哪些哲学思想？
7106075#0	有哪些雅典神话故事？
4695013#0	英国有哪些奇幻小说家？
3557225#0	台湾有哪些青春偶像剧？
639032#0	德国现任总统是谁？
1087746#0	意大利有哪些宗教信仰？
39501#0	日本分为哪些地区？
5947032#0	计算机代码有哪些组合？
264594#0	摩洛哥国王是谁？
3333019#0	有哪些星座神话？
5998687#0	蔡依林专辑总销量是多少？
58251#0	电子应用于哪些领域？
1579824#0	战国七雄是哪些？
5952380#0	中国有哪些有名的武将？
3522056#0	高雄有哪些体育馆？
7237378#0	印度医疗体系有哪些制度？
772139#0	中国民间故事《梁山伯与祝英台》的电视剧导演是谁？
5378125#0	阿斯坎尼王朝创建于哪一年？
7177029#0	天津市妇联的主任是谁？
169298#0	哪些语言需要考虑词性变化？
1633441#0	无机化合物有哪些分类？
486685#0	美国有哪些小说改的电影？
7650457#0	配位化合物有哪些基本组成？
5645148#0	印度尼西亚有多少小岛？
1103340#0	美国第一任总统是谁？
3329465#0	多伦多人均GDP多少？
1046885#0	香港有哪些足球运动员？
5479262#0	日本有哪些乐队？
2890479#0	李娜世界排名最高多少？
980979#0	日本铁路总局设置在哪里？
3084352#0	美国总人口多少？
4794315#0	巴拉圭位于哪一大洲？
3542857#0	虾有哪些生活习性？
2762206#0	乌克兰国土面积多少？
2737699#0	中国有哪些考古专家？
4005201#0	赵丽颖主演过多少部电视剧？
129691#0	东京有多少私立大学？
1729977#0	中国当代有哪些漫画家？
214749#0	胡杏儿主演过哪些港剧？
6129869#0	佛教有哪些节日庆典？
329914#0	香港有哪些唱跳歌手？
938018#0	巴基斯坦官方语言是什么？
6208022#0	双向搜索算法的发现者是谁？
419450#0	水仙花主要分布在哪里？
1507967#0	《西游记》的作者是谁？
594776#0	香港有哪些小岛？
5446831#0	中国第一块羽毛球奥运冠军获得者是谁？
91294#0	人马座有哪些临近星座？
1709218#0	英国有哪些足球教练？
909947#0	汉语有多少种音调？
1005288#0	厦门的地标建筑是什么？
5627476#0	第一届奥林匹克运动会在哪里举办？
6357032#0	日本有哪些银行？
1037862#0	迪士尼的总裁是谁？
7407733#0	耳朵有哪些结构？
2988748#0	中国有多少航空母舰？
6080465#0	中国传统建筑有哪些特点？
5026173#0	索尼有哪些产业？
2904314#0	后发座最佳观测时间在几月？
5258613#0	英国是哪一年建国的？
7133408#0	辽宁省有哪些流经河？
650463#0	棒球运动员分为哪些职能？
411428#0	澳门哪一年回归？
6460726#0	天津有哪些非物质文化遗产？
1049148#0	世界上最大的国际机场在哪里？
1453821#0	日本销量最高的游戏是哪一部？
5673364#0	兴奋剂有哪些功能？
42880#0	企业有哪些组成结构？
1170057#0	翡翠台播出过哪些动画片？
2821196#0	有哪些抗癌药物？
6106025#0	化学元素周期表有几位？
6921972#0	韩国有哪些电视剧导演？
3912426#0	中国消防有哪些设备？
6577614#0	日本有哪些宗教信仰？
7057685#0	香港警察有哪些职责？
667396#0	日本大阪属于什么地形？
271955#0	清朝有哪些民族？
3627410#0	台湾有哪些传统点心？
6509437#0	美国常青藤大学是哪些？
1629045#0	中国有哪些地域歌曲？
4050375#0	基因有哪些分类？
327799#0	清朝有哪些官衔？
5123466#0	酶有哪些功能作用？
4750176#0	拉脱维亚在哪一洲？
3465484#0	深圳有哪些地铁线路？
6052892#0	保加利亚有哪些邻国？
915478#0	意大利有哪些河流？
566956#0	香港有哪些足球队？
1475763#0	DC漫画有哪些电影化了?
7478618#0	日本铁道有哪些特点？
480095#0	中国同盟会创建人是谁？
4653095#0	西班牙共产党领导人是谁？
5978348#0	中国建国后有多少位院士？
4402478#0	有哪些西北歌曲？
2763957#0	亚热带气候有哪些特点？
1617170#0	美国百老汇剧院在哪里？
1574637#0	香港环保组织有哪些活动？
1499024#0	中国有哪些美术学院？
925949#0	上海有哪些铁路线？
1515978#0	澳洲有哪些网球比赛？
5212094#0	意大利有哪些绘画风格？
6584349#0	美国有哪些摇滚乐队？
4051982#0	北半球有哪些天文观测点？
5475671#0	戊戌六君子有谁？
1825832#0	赫马佛洛狄忒斯的父母是谁？
602886#0	台湾有哪些主持人？
3118369#0	法国总面积多少？
59485#0	中国有哪些民用航空公司？
3156717#0	棒球的起源地是哪里？
7602596#0	中国地形有哪些特征？
5948461#0	中国足球协会和哪些企业合作？
5968190#0	UFC在哪些国家举办过？
289464#0	珠江三角洲有哪些城市？
5277455#0	美国有哪些出名的情景剧？
2904184#0	后发座最亮星是什么？
7137606#0	基里巴斯面积多少？
1420520#0	楚国有哪些作家？
1582506#0	蛙类有哪些生活习性？
278064#0	中国有哪些防护城墙？
3793291#0	邵逸夫有哪些主要成就？
911398#0	意大利有哪些运动项目？
920302#0	几何有哪些发展分支？
5690659#0	蝴蝶有哪些习性？
7011273#0	苹果公司有哪些产品？
3703922#0	德国有哪些世界知名的大学？
5790689#0	国际天文学联合会有哪些成员？
967777#0	世界第二次大战结束于哪一年？
7093445#0	河南省省委书记是谁？
601335#0	英国国会有哪些组成部分？
1564952#0	马来西亚最大城市是哪里？
436300#0	阿尔卑斯山脉有多少山峰？
1118383#0	美国第29任总统是谁？
5667001#0	月球背面有多少撞击坑？
1573512#0	世界上最大地震发生在哪里？
3063530#0	青岛有哪些农业类大学？
7520638#0	法国共产党哪一年成立？
1005866#0	台湾有哪些电视台？
7691504#0	中国有哪些海洋研究所？
3261076#0	南美洲有哪些河流域？
7050049#0	日本有多少个县？
1550441#0	中国有哪些书法家？
455937#0	有哪些在香港发展的大陆艺人？
1268794#0	中国有哪些影视公司？
4299382#0	台湾屏东县东港镇的七角头有哪些？
267615#0	中国共产党哪一年成立？
6082639#0	上一任国际奥委会主席是谁？
111916#0	克罗地亚共和国国土面积多大？
6016254#0	新鸿基地产总裁是谁？
5759257#0	终极格斗冠军赛起源于哪个家族？
5205914#0	乌克兰信仰什么宗教？
5062841#0	德国有哪些邻国？
5393143#0	太平洋有哪些小岛？
3011920#0	韩国三星集团有哪些子公司？
5581611#0	台湾有哪些山脉？
4340470#0	网络上有哪些字体设定？
5026564#0	DC漫画有哪些英雄角色？
2899814#0	双子座面积多大？
3379484#0	英国有哪些政党？
5742836#0	美国有最长的河流是哪一条？
5570585#0	漫威原作者是谁？
3701819#0	联合国有哪些宗旨？
543884#0	唐朝于哪一年灭亡？
1187195#0	天文学研究有哪些工具？
6374240#0	越南国土面积多大？
5602274#0	世界童军委员会哪一年成立？
5281247#0	美国人口增长率是多少？
7647300#0	嘉庆帝上一任皇帝是谁？
7885727#0	第一次世界大战死伤人口是多少？
7036013#0	编程语言都有哪些？
5992888#0	托尔金有哪些作品？
4416098#0	香港有哪些购物中心？
5251734#0	莫斯科有哪些建筑？
2879072#0	捷克有哪些军队？
1444006#0	台湾有哪些传统技艺？
681320#0	湖南省有多少机场？
583909#0	香港哪里可以使用储值车票？
3160183#0	缅甸有哪些地质灾害？
7712485#0	英国有哪些科幻杂志？
3744764#0	广东省有哪些地形特征？
1026028#0	爬行动物有哪些生活习性？
