10756354#0	Qui était Princesse Diana?
13610066#0	Comment s'appelle l'ingénieur qui a construit la Tour Eiffel?
3531176#0	Où se trouve Halle en Allemagne?
12934247#0	Quelle est la capitale de la Norvège?
3114283#0	Combien d'habitants a le village Takataka?
9567602#0	Quelle est la population de Séoul?
481757#0	Qui était le souverain de Lagash?
9315246#0	Où est né Stefan Kovacs?
12330540#0	Est-ce que James Jesse Strang est marié?
5873198#0	Qui est Walt Disney?
10630979#0	Comment est-ce qu'on peut aider une personne avec des idées suicidaires?
5664731#0	Comment s'appelle le père de Bach?
25125#0	Quels sont les joueurs de tennis anglais les plus célèbres?
839721#0	Qui a créé les Halles Saint-Géry?
1675090#0	Qui sont les Beatles?
2843363#0	Combien de partis politiques y a-t-il dans le gouvernement britanniques?
3741367#0	Quel est le style d'architecture de Versailles?
6939858#0	Comment s'appelle la femme de Jean-François-Charles-Dufay?
8450571#0	Combien de personnes Jack l'Éventreur a tué?
6509855#0	Combien d'accidents d'avions y a-t-il par un an dans le monde?
2871334#0	Quelle est la longueur de la rivière Rhin?
5630749#0	Combien de types de fusils y a-t-il dans le monde?
58618#0	Quel est le processus de production du vin?
81521#0	Quels sont les ingrédients d'une protéine?
1950972#0	Qui est le secrétaire de l'Académie des sciences de Californie en 2022?
3305039#0	Pourquoi s'appelle-t-on île de la Réunion?
8979010#0	Quelle est la couleur d'un extra-terrestre?
663120#0	Comment devenir un chanteur?
11254161#0	Quelles sont les sciences humaines?
12788971#0	Comment écrire un livre sur la guerre?
2763337#0	Quel est le meilleur modèle de vélo pour la montagne?
4654770#0	Combien de lignes de chemin de fer existent en France?
11435741#0	Comment construire une maison?
1918803#0	Qui construit des satellites militaires?
4808301#0	Qui est le propriétaire de Google?
1355335#0	Dans quels domaines la fluorescence est utilisée ?
2893208#0	Quels étaient les principes de l'école pythagoricienne?
5329189#0	Comment a été créé le Colt 1851?
2037365#0	Quel était le but du Pont de Kinzua?
8963147#0	Quel est le processus de la création d’un film?
9031234#0	Combien d’agences de sécurité y a-t-il aux États-Unis?
14575167#0	Quelle est la nourriture des koalas?
2690823#0	Quelles langues parle-t-on en Nouvelle-Zélande?
30451#0	Combien de cycles ont les études supérieures en France?
12604544#0	Quel est le climat au Mexique?
12789116#0	Quel est le salaire d’un mineur en France?
8501992#0	Quand a été créée l'épreuve les Quatre Jours de Dunkerque?
10953055#0	Combien de genres archosauriens y avait-il?
13327913#0	Quelles sont les méthodes de conservation des animaux en voie de disparition?
3123537#0	Quelles sont les caractéristiques de l’eau thermale?
5522098#0	Qui est le fondateur du monastère d’Osogovo?
5927854#0	Quelle est la profondeur de la fosse 7 - 7 bis de la Compagnie des mines de Béthune?
8047779#0	Quelles sont les montagnes au Mexique?
1289982#0	Quels sont les avantages de l’ensemencement hydraulique?
6391801#0	Quelles sont les conditions requises pour un package dynamique?
7084458#0	Quelle est la tumeur la plus fréquente chez les humains?
9026771#0	Combien d'équipes de rugby y a -t-il aux États-Unis?
6546023#0	Que fait un samouraï?
9232934#0	Quel est le rôle d’animateur?
12114874#0	Quelles sont les causes de la « naissance sans bras »?
11590392#0	Quelles sont les variétés du Laurier des Iroquois?
3443537#0	Qui était le président des États-Unis après John Adams?
1147078#0	Quel est le chemin de fer le plus long aux États-Unis?
7845461#0	Qu'est-ce que c'est un système politique avec un pouvoir centralisé?
3683975#0	Quelle est l’actrice japonaise la plus célèbre en 2021?
8811877#0	Qui a inventé les croiseurs lourds?
8729873#0	Qu’est-ce qu’un ordinateur numérique?
3176163#0	Quels sont les différents types de musique?
10725302#0	Quel est le système de bibliothèque à Toronto?
10642843#0	Quels sont les types d'élections au Canada?
1291539#0	Quelle est la température pendant la nuit au Sahara?
13188995#0	D'où est venu le tribu Bani Hilal?
9215809#0	Quand a été conquise Trébizonde par les Ottomans?
1091660#0	Quels sont les principes de Prosilva?
182735#0	Qui est le président des Philippines?
7825241#0	Qui est le fondateur de l'église Saint-Martin?
11892201#0	Qui etait William Hershel?
5452168#0	Qu’est-ce que signifie le terme kunoichi?
354765#0	Combien de cosmonautes étaient dans le vol Soyouz 2?
313267#0	Quel est le climat de l'île Maurice?
6258170#0	Quelles sont les conditions requises pour devenir un évêque?
11136326#0	Qui est le chanteur canadien le plus connu au monde?
1479678#0	Quel est le meilleur avion de tourisme?
8866406#0	Quelles sont les caractéristiques d’un film d’horreur?
14436581#0	Comment faire pour entrer dans une école militaire?
6487706#0	Comment devenir un écrivain?
14648330#0	Combien de personnes sont mortes à cause du conflit Israël-Gaza?
12540998#0	Quels sont les effets de la drogue sur le corps humain?
14997#0	Pourquoi est-ce qu’on a créé les États-Unis?
3412640#0	Comment obtenir un jeu en ligne gratuit?
1201109#0	Comment cuisiner le Polypore soufré?
1784588#0	Quels sont les jeux vidéo musicaux?
14348991#0	Quel est l'origine du ballet?
4062434#0	D'où vient le nom Something for Kate?
4010228#0	Dans quels pays est appliquée la peine de mort?
163907#0	Quelle est l’importance de la mise en scène au théâtre?
7311078#0	Quelles médailles sont décernées pour les accomplissements militaires?
5540743#0	Qui est le tueur en série le plus connu d’Europe?
11862847#0	Qui était la dynastie Tudor?
6084029#0	Où est situé Kingston, Ontario?
13233324#0	Quel pays a le plus grand système de ferry-boat au monde?
9608008#0	Quel est le parc le plus connu à New York?
12666788#0	Qui est le roi de Belgique?
11881111#0	Quelles sont les planètes du système solaire?
6504109#0	Comment apprendre à jouer de la guitare?
2718027#0	Qu’est-ce qu’on étudie dans un lycée polyvalent?
7527887#0	Qui a construit le Boeing 747?
235596#0	Combien sont les chromosomes dans le corps humain?
14638186#0	Quelle est l'efficacité des kamikazes?
5705737#0	Quelles étaient les conséquences de la Seconde Guerre mondiale sur l'économie des Etats-Unis?
962438#0	Quelle langue parle-t-on au Mali?
9769495#0	Qu’est-ce que c’est un exonyme?
12243480#0	Quand le jeu vidéo Super Mario est-il sorti pour la première fois?
1397337#0	Pourquoi on appelle le Crunch?
14093260#0	Quelle est l'opération Barbarossa?
673437#0	Quel est le salaire d'un architecte?
14406145#0	Quels sont les sujets examinés par la linguistique?
5617660#0	Quelle est la langue officielle du Togo?
13951406#0	Quelles sont les villes les plus nombreuses au Kurdistan?
89978#0	Comment devenir un baron en Angleterre?
12850397#0	À qui appartient le Bon Marché?
691178#0	Comment s’appelle le président de France en 2021?
3900006#0	Quand a été formé le groupe Dionysos?
6463576#0	Qui est le propriétaire du FC Metz?
4404595#0	Quels sont les types de réactions chimiques?
9202838#0	Qui a inventé l’aspirine?
4244183#0	Que examine l'océanographie?
1418538#0	Quelle est l'université la plus ancienne au Canada?
803013#0	Quelle langue parle-t-on en Nouvelle-Calédonie?
3364901#0	Qui est le premier président français élu au suffrage universel?
6716453#0	Quelle est la cuisine coréenne?
9604710#0	Qui est le président d’Allemagne?
9289948#0	Comment apprendre l'ingénierie tissulaire?
585173#0	Quel est l’origine du nom Savoie?
4145223#0	Quel est le poète roumain le plus célèbre du monde?
312574#0	Quelle est la montagne la plus haute au Maroc?
613059#0	Pourquoi le rhinocéros laineux a disparu?
10277575#0	Combien de temps dure le jeu Sonic Mania?
4725915#0	Quels sont les sujets examinés par la neurologie?
6363518#0	Quelles sont les fêtes religieuses au Canada?
130245#0	Quelle langue avaient parlé les Tokhariens?
10752301#0	Quelles sont les caractéristiques principales de l’art japonais?
6097224#0	Quelle éducation est nécessaire pour devenir un journaliste?
9925182#0	Quand s’est déroulée la guerre russo-japonaise?
5030187#0	Pourquoi Venise est-elle construite sur l’eau?
1952552#0	Quel est le sens du term “Maquis”?
3984382#0	Quelle est l’architecture du château de Grabštejn?
4283040#0	Quels sont les symptômes d'une overdose?
8422821#0	Qu’est-ce que c’est un conflit juridique?
8572185#0	Quelles sont les opérations qu’un ordinateur peut faire?
61295#0	Quels sont les traits de la langue bretonne?
3028362#0	Combien d'équipes de basket-ball participent en NBA?
1361544#0	Qu’est-ce que cela signifie d'appeler quelqu’un Don Juan?
4049812#0	Quelles sont les meilleures races de chevaux?
13275117#0	Combien de stations a le métro de New York?
2475934#0	Quel est l'état de conservation des Callorhinchus?
46131#0	Quelle est l'activité économique principale de la Polynésie française?
3191282#0	Quels sont les principes du bouddhisme?
12683503#0	Combien de pays étaient dans l’Union Sovietique?
14397365#0	Quelle est la population de Birmingham?
14186463#0	Qui est le musicien belge le plus célèbre du monde?
2264693#0	Quel est l’origine de l’art de la sculpture?
885292#0	Comment organiser les élections en France?
386345#0	Pourquoi y avait-il des usurpateurs du pouvoir impérial à Rome?
11892817#0	De quoi est composé un astéroïde?
11821229#0	Quelle est la ville la plus proche de Troyes?
13174846#0	Quels sont les opérateurs booléens?
4063085#0	Quand a été construite l'université d’Helsinki?
4865327#0	Qui a gagné la Seconde Guerre mondiale?
998997#0	Quels sont les principes de l’accord Schreurs-Couvreur?
8848543#0	Quels sont les genres de films?
157441#0	Quelles sont les motivations de la contrebande?
2028103#0	Quand a été le génocide au Rwanda?
1252205#0	Comment créer une série télévisée d’animation?
626840#0	Combien d’habitants y a-t-il en Côte d’Ivoire en 2021?
4853676#0	Quels sont les principes de la sécurité aérienne?
10501811#0	Que signifie un prêt-à-porter?
1024392#0	Comment cultiver des agaves?
5893747#0	Quelles étaient les conséquences de la décentralisation de l’Empire romain?
4544946#0	Quelle est la théorie des orbitales moléculaires?
9207874#0	Quel est le repas traditionnel aux Fidji?
12158635#0	Quelles sont les caractéristiques du métal?
30919#0	Qui étaient les Philistins?
142339#0	Quel est le plus grand lac du monde?
11633354#0	Quel est le sport national du Canada?
14348378#0	De quel entraînement physique un boxeur a besoin?
8317837#0	Quelle est la capitale du département de Vaucluse?
11882044#0	Quelle galaxie est la plus proche de la Voie lactée?
1999607#0	Qu’est-ce que c’est un doo-wop?
1443929#0	Combien de députés y a-t-il au parlement français?
9834447#0	Qui est le président de la National Football League?
6022777#0	Qu’est-ce que c’est l’API en phonétique?
14252888#0	Quel est le dernier modèle de téléphone de Samsung?
9474544#0	Quelle est la taille du Sahara?
4230341#0	Qu’est-ce qu’examine l'ornithologie?
9339090#0	Quel est le projet actuel de la NASA en 2022?
7283637#0	Quel est le territoire de la Moldavie?
13596690#0	Quels sont les traits d’une personne autistique?
13788649#0	Combien de comtés y a-t-il en Norvège?
7260414#0	Quelle est l'idéologie du nazisme?
258906#0	Qui a créé la série télévisée Silicon Valley?
9125794#0	Qui est le fondateur de la compagnie Cunard Line?
7859297#0	Qui sont les plus grands représentants de romantisme?
12644637#0	Quelle est la différence entre la sidérurgie et la métallurgie?
462232#0	Qui est le premier psychoanalyticien?
1953176#0	Quel type de groupe est Orange Range?
2890142#0	Comment s’appelle l'aéroport de Marseille?
8237481#0	Qui est devenu le champion de la Coupe de la Ligue en 2020?
9236110#0	Combien coûte un satellite?
13375583#0	Quelle est l’importance de la politique dans les relations internationales?
7614187#0	Qui a créé le jeu Lego?
11467705#0	Quelle est la rivière la plus longue aux Pays-Bas?
8491623#0	Comment faire une méditation?
658645#0	Quelles sont les règles du curling?
4958710#0	Quelles sont les classes de chemin de fer aux États-Unis?
12823253#0	Pourquoi on a choisi le nom la Voie lactée?
4715639#0	Qui est le joueur de football portugais le plus célèbre au monde?
430547#0	Quelle formation est nécessaire pour devenir un naturaliste?
10978409#0	Qui a inventé le "metsubushi"?
132307#0	Quelles sont les conditions requises pour un mariage au Canada?
1549083#0	Quelles sont les racines de la famille aristocratique Saxe-Cobourg?
5047419#0	Quelle est la longueur du fleuve Hudson?
12116881#0	Comment s’appelle la science qui étudie les pierres?
9308616#0	Quelle est la religion officielle en Géorgie?
134822#0	Quelles sont les causes de l'infection urinaire?
8482396#0	Quelle est la fonction de la chymotrypsine?
12781334#0	Quelle est la population de la province d’Andalousie?
306437#0	Quelles sont les dates du Moyen Âge?
1587547#0	Pourquoi on a choisi le nom "Quartier de la pêcherie"?
530489#0	Qui est le meilleur cycliste français?
1014091#0	Quels étaient les points du Traité de Vienne?
121814#0	Combien de langues parle-t-on en Russie?
8811959#0	Quand naissent les bébés chauve-souris?
970192#0	Quelle langue parle le tribu Tohono O’odham?
193219#0	Qui est le réalisateur canadien le plus connu en 2021?
14633113#0	Quelles sont les fonctions d'un navire??
3213435#0	Qui a créé Pokemon?
9612292#0	Pourquoi est-ce qu’on appelle la période des Trois Royaumes de Chine?
2766640#0	Quelle est la taille du terrain de baseball?
10223082#0	Qu’est-ce qu’un scénariste fait?
5571296#0	Quelle loi s'occupent de la propriété intellectuelle en France?
3944815#0	Quelles sont les caractéristiques essentielles de l’art moderne?
1284279#0	Qui est le père de mathématiques?
11882697#0	Qui a construit le premier observatoire du monde?
10190708#0	Comment sont donnés les noms d’ouragans?
3671790#0	Qui est le propriétaire de Buddah Records?
118593#0	Qui est le contenu d’un chromosome?
433924#0	Comment les maladies infectieuses se propagent?
650426#0	Quels sont les différents formats vidéo?
5754656#0	Qui était la muse de Brahms?
11526354#0	Que fait un sniper?
94860#0	Qu’est-ce que c’est l’anthropomorphisme?
218089#0	Quels sont les principes de la constitution du Royaume-Uni?
3328434#0	Qui est Connie Carpenter-Phinney?
322706#0	Quelles sont les régions belges?
626481#0	Quels sont les aspects principaux du style blue?
7818525#0	Quelle est la longueur du chemin Paris-Lyon?
12519121#0	Quel est le sol idéal pour un cultivar de rosier?
300856#0	Quelle est l’origine de la musique celtiques?
13598533#0	Quelle est la deuxième plus grande ville d’Allemagne?
803104#0	Quelle est l'école artistique la plus connue de New York?
1037896#0	Quel est le décor des tombes royales dans la vallée des Rois?
12608613#0	Quelles sont les raisons médicales de l’homosexualité?
6411870#0	Qui a inventé le hockey?
942352#0	Quel est l'origine du nom Massachusetts?
1873971#0	Quel est le papillon le plus commun au Canada?
13191855#0	Qu’est-ce que l'anthropologie étudie?
9910246#0	Quelle est l'étymologie du mot nécropole?
14382211#0	Quels sont les modèles de neurones à impulsion?
206334#0	Où se trouve la plus belle cathédrale de France?
77559#0	Quelle est la religion officielle en Géorgie?
14385647#0	Qui a introduit le terme racisme?
10147692#0	Quel est le jeu vidéo le plus joué au monde?
1300051#0	Quel est le réacteur de base Tokamak?
12036006#0	Quel est le roman le plus célèbre de Tolstoï?
5652144#0	Quelle est la musique traditionnelle du Japon?
9248177#0	Qui crée la cryptographie?
6426378#0	Que signifie l’onomastique?
9922752#0	Qui sont les membres du groupe Aerosmith?
183441#0	Quels sont les types de poèmes?
