1	Когда был спущен на воду первый миноносец «Спокойный»?
4	Как долго существовало британское телевизионное игровое шоу "Хрустальный лабиринт"?
6	Когда родилась Князева Марина Леонидовна?
11	Кто был главным художником мира Зен?
12	Как звали предполагаемого убийцу Джона Кеннеди?
13	В каком году была создана группа My Bloody Valentine?
15	Сколько раз Ли́ля Ю́рьевна Брик была замужем?
17	В каком немецком городе родилась Екатерина 2?
18	Где находится Лахта центр?
21	Какой процент населения Земли ездит на правостороннем движении?
22	Когда появилась живопись Тибета?
24	Михаи́л Алекса́ндрович Вру́бель был душевно больным человеком?
25	Сколько букв в Русском языке в 2018 году?
26	Дэвид Марк Моррисси играл в театре?
27	Сколько стран принимало участие в Зимних Олимпийских играх 2014?
29	Выходит в Калмыкии газета на калмыцком языке на март 2019?
30	Какая площадь падения Тунгу́сского метеорита?
31	Когда был создан футбольный клуб «Рома»?
32	Где происходит действие первой игры Warcraft?
34	В каком году родился Гитлер?
35	Нур Моха́ммад Тараки́ был убит?
38	В каком возрасте Беляев изобрел стереоскопический проекционный фонарь?
39	Кто возглавлял Демократический союз в Санкт-Петербурге?
40	Кто был автором проекта «Фрам»?
41	В каком году было Морское сражение за Гуадалканал?
42	В честь кого Юпитер назван Юпитером?
43	От кого получила свое названия порода орловских рысаков?
44	Как называется столица непризнанной Приднестровской Молдавской Республики?
45	Как звали мать Персефоны?
46	Какая гора самая высокая в Абхазии?
47	Были ли братья и сестра у Рюрика?
49	Когда была построена первая ракета?
50	Где преподавал Фуко?
51	Какой результат был в Протестах против строительства трубопровода Dakota Access?
52	Где родился И́горь Евге́ньевич Леви́тин?
53	Какое кровяное давление считается нормальным у человека?
54	Когда родилась Фрейя Мэйделин Старк?
55	Есть ли нефть в Удмуртии?
57	Кто снялся в роли Скарлетт в "Унесенных ветром"?
58	Сколько человек пострадали во время терракта в Беслане?
60	Кто сыграл близнецов Уолш в «Беверли-Хиллз, 90210»?
61	Сколько длилась блокада Ленинграда?
70	Сколько братьев и сестер было в семье Гоголя?
