14	Who is the ruling Emir of Dubai accused of kidnapping his daughters?
16	When was the highest death rate of covid19 in India?
17	Who is the Prime Minister of Bangladesh 2023?
19	When did the corona virus start in Italy?
21	When was the first covid-19 vaccine administered in the Britain?
22	When was Somaliland president Muse Bihi Abdi born?
24	Who Was the first woman photographer in India?
26	When can a person's IQ be said to be low?
27	When did covid19 start in Africa?
28	Who is the most died from Covid19 in New York and Washington?
