231591#0	भारत में कुल कितने राज्य है?
230520#0	बिल गेट्स का जन्म कोनसे वर्ष में हुआ?
181854#0	बॉलीवुड की सबसे मशहूर फिल्म का नाम क्या है?
52964#0	कनाडा का प्रधानमंत्री कौन है?
1350444#0	एशिया की आबादी कितनी है?
190292#0	२०२२ में विश्व की आबादी कितनी होगी ?
700407#0	पेंगुइन्स ठंडी जगह पर क्यों रहते है ?
231437#0	भारत किस वर्ष में आज़ाद हुआ था ?
427625#0	शास्त्रीय संगीत कैसे गाया जाता है ?
5138#0	विश्व में सबसे ज़ादा बोली जाने वाली भाषा क्या है ?
186422#0	भारत के उत्तरी क्षेत्र में कितने शहर है ?
474035#0	महात्मा गांधी के कितने पुत्र थे ?
1228650#0	गाना गाने के लिए कितने सुर सीखने पढ़ते है?
788825#0	भारत का सबसे छोटे शहर का नाम क्या है?
464617#0	विश्व के सबसे बढ़े सागर का नाम क्या है?
24380#0	दुनिया में कितनी भाषाएं बोली जाती है?
230070#0	एक वर्ष में कितने महीने होते है?
2474#0	मशहूर अभिनेता अभिषेक बच्चन का विवाह किसके साथ हुआ था?
217167#0	आइज़क न्यूटन की मृत्यु कैसे हुयी थी?
1109197#0	पंजाब की राजधानी का नाम क्या है?
23568#0	मक्का किस राज्य में स्थित है?
231537#0	क्रिसमस किस महीने में मनाई जाती है?
20104#0	हृदय को स्वस्थ रखने के लिए क्या खाना चाहिए?
229909#0	शक संवत को भारत में क्यों इस्तेमाल किया जाता था?
1327705#0	आईसीसी पुरुष टी20 कितनी टीमें खेलती है?
5167#0	जादूगर बनने के लिए कैसा जादू सीखना चाहिए?
1265926#0	किस तरह की बीमारी मनुष्य के गुर्दे को खराब कर देती है?
469362#0	अफ़्ग़ानिस्तान की जनसंख्या कितनी है?
230006#0	जूलियन कलेण्डर किसे कहते है?
7444#0	महाभारत किसने लिखी थी?
484416#0	डेविड ह्यूम किस राज्य में रहते है?
222162#0	अंग्रेजी में कितनी वर्णमालाएँ होती है?
44924#0	गृहस्थ को अंग्रेजी में क्या कहते है?
20873#0	कटरीना कैफ अभिनेत्री किस वर्ष में बनी थी?
59019#0	केरल में गर्मी क्यों होती है?
475308#0	ईरान की राजधानी क्या है?
222610#0	फिल्म "दिल चाहता है" के निर्देशक कौन थे?
231045#0	ईसा मसीह की मृत्यु क्यों हुई थी?
739240#0	अहिंसक प्रथाएँ किस देश में बनाई गई थी?
27862#0	नदी में कितने प्रकार की मछली पायी जाती है ?
189666#0	योग करने के लिए सुबह क्यों उठना चाहिए?
229700#0	अमिताभ बच्चन का जन्म कब हुआ था?
876311#0	भारतीय क्रिकेट टीम का कप्तान कौन है?
230627#0	भारत के पूर्व क्षेत्र में कौन से शहर आते है?
222199#0	बेंगलुरु की आबादी कितनी है?
1191180#0	बिहार का मुख्यमंत्री कौन है?
58234#0	बल्ब का आविष्कार किसने किया था?
181220#0	जर्मन की सबसे प्रसिद्ध गाढ़ी बनाने वाली कंपनी कोनसी है?
753348#0	भारतीयों के लिए संस्कृति इतनी अहम क्यों है?
229651#0	भारत का संविधान कब लागू हुआ?
182468#0	किस मच्छर के काटने से डेंगू ज्वर आता है?
1325374#0	भगवान श्री राम की पत्नी का नाम क्या था?
231483#0	भारत में अभ्रक का सर्वाधिक उत्पादन कौन से राज्य से होता है?
1337085#0	गुब्बारों को भरने के लिए किस गैस का प्रयोग किया जाता है?
48272#0	भारत की संविधान का संरक्षण कौन है?
1250317#0	आयुर्वेदिक दवाइयां कैसे बनाई जाती है?
