0	వేప చెట్టు యొక్క శాస్త్రీయ నామం ఏమిటి?
1	రెయ్యలగడ్ద గ్రామ విస్తీర్ణత ఎంత?
3	2011 జనగణన ప్రకారం చీర్తనకళ్ గ్రామములో పురుషుల సంఖ్య ఎంత?
4	రాపర్తి గ్రామ పిన్ కోడ్ ఏంటి?
5	2011 జనగణన ప్రకారం కొమ్మూరు గ్రామంలో ఎంతమంది స్త్రీలు ఉన్నారు?
6	పి. సుశీల ఎప్పుడు జన్మించింది?
7	షాంఘై టవరు కట్టడం ఎప్పుడు పూర్తయింది ?
8	హీరోయిన్ సౌందర్య ఎప్పుడు మరణించింది?
9	నందమూరి తారక రామారావు నటించిన మొదటి చిత్రం ఏది?
11	తమరాం గ్రామ పిన్ కోడ్ ఏంటి?
12	2011 జనగణన ప్రకారం వరగాణి గ్రామములో ఎన్ని ఇళ్లులు ఉన్నాయి?
13	పాకిస్థాన్ రాజధాని ఏంటి?
16	దబ్బల రాజగోపాల్ కి ట్యూరింగ్ అవార్డు ఎప్పుడు లభించింది?
18	ఆంధ్రప్రదేశ్ నుండి తెలంగాణ ఎప్పుడు విడిపోయింది?
19	సుమతీ శతకము రచించిన కవి పేరేమిటి?
20	చిదిమిదరి సీతారామరాజుపేట గ్రామ విస్తీర్ణం ఎంత?
22	ఆంధ్రజ్యోతి పత్రికను ఎవరు ప్రారంభించారు?
23	అడ్డూరిపేట గ్రామ పిన్ కోడ్ ఏంటి?
24	ఇస్రో సంస్థ ఎప్పుడు స్థాపించబడినది?
25	సవరిగూడెం గ్రామ విస్తీర్ణం ఎంత ?
26	ఆస్టిన్ నగర విస్తీర్ణం ఎంత?
27	2011 నాటికి రాయభూపాలపట్నం గ్రామ జనాభా ఎంత?
29	అమరావతి పట్టణము విస్తీర్ణం ఎంత ?
30	ఆస్ట్రియాలో ఎన్ని రాష్ట్రాలు ఉన్నాయి?
31	సాదత్ హసన్ మంటో ఏ సంవత్సరంలో జన్మించాడు?
32	బుటారి గ్రామ విస్తీర్ణం ఎంత?
33	ఈస్ట్‌మన్‌ కొడాక్‌ కంపెనీ ఏ సంవత్సరంలో ప్రారంభమైంది?
36	రావణుడిని ఎవరు చంపారు?
39	హనుమంతగుండం గ్రామ విస్తీర్ణం ఎంత?
40	హరదనహళ్ళి దొడ్డేగౌడ దేవేగౌడ ఏ సంవత్సరంలో జన్మించాడు?
42	అక్కుర్తి గ్రామ విస్తీర్ణం ఎంత
45	పువ్వుల లక్ష్మీకాంతమ్మ తండ్రి పేరేంటి?
46	2011 జనాభా లెక్కల ప్రకారం వీరపనేనిగూడెం గ్రామ జనాభా ఎంత ?
47	భానుభక్త ఎప్పుడు జన్మించాడు?
53	శ్రీకృష్ణుడు అర్జునుడికి ఏ యుద్ధంలో గీతోపదేశం చేసాడు?
54	వంగపండు ప్రసాదరావు తల్లిదండ్రుల పేర్లేమిటి?
56	అనంతపల్లె గ్రామ విస్తీర్ణం ఎంత?
57	గోదావరి నది ఎన్ని రాష్ట్రాల గుండా ప్రవహిస్తుంది?
59	కార్టోశాట్-1 ఉపగ్రహం ను ఏ రాకెట్ లో పంపారు?
60	సింగమనేని నారాయణ ఎక్కడ జన్మించాడు?
61	ఆనంద్ జైన్ ఎప్పుడు జన్మించాడు?
62	బర్మా దేశానికి గల మరొక పేరేమిటి ?
63	గ్రీన్‌హౌస్ వాయువులు ఎన్ని ?
64	జిబౌటి దేశ వైశాల్యం ఎంత?
67	టిప్పూ సుల్తాన్ ఎప్పుడు మరణించాడు?
69	కాఫీ గింజలు ఎక్కువగా పండించే దేశం ఏది?
70	రోహిత్ శర్మ తల్లిదండ్రుల పేర్లేమిటి?
71	కోయంబత్తూరు కృష్ణారావు ప్రహ్లాద్ ఎప్పుడు జన్మించాడు?
72	కంఠంరాజు కొండూరు గ్రామ పిన్ కోడ్ ఎంత ?
73	ఐఆర్ఎన్ఎస్ఎస్-1సీ ఉపగ్రహా బరువు ఎంత?
74	మాన్హాటన్ ప్రాంత విస్తీర్ణం ఎంత?
76	చినమక్కెన గ్రామ పిన్ కోడ్ ఏంటి?
77	బోస్ కార్పోరేషన్ ని ఏ సంవత్సరంలో స్థాపించారు ?
79	జవహర్ లాల్ నెహ్రూ ఎప్పుడు జన్మించాడు?
80	కీలపల్లె గ్రామ విస్తీర్ణం ఎంత?
81	2011 నాటికి బొడ్డగొండి గ్రామ జనాభా ఎంత?
82	పండ్లూరు గ్రామ విస్తీర్ణం ఎంత?
84	2011 జనగణన ప్రకారం బెజ్జిపుట్టుగ గ్రామములో ఎన్ని ఇళ్లులు ఉన్నాయి?
85	లార్డు హేస్టింగ్సు జన్మస్థలం ఏది ?
86	కొబ్బరి శాస్త్రీయ నామం ఏంటి?
87	పులికాట్ సరస్సు పొడవు ఎంత?
89	అటల్ బిహారీ వాజపేయి ఏ సంవత్సరంలో జన్మించాడు?
92	2001 జనాభా లెక్కల ప్రకారం ఓగిపూర్ గ్రామ జనాభా ఎంత ?
93	శ్రీకాకుళం జిల్లా ఎప్పుడు ఏర్పడింది ?
95	చిదిమి గ్రామ విస్తీర్ణం ఎంత?
98	సూర్యుని నుంచి కాంతి భూమిని చేరుటకు పట్టే సమయం ఎంత?
99	బెల్కటూరు గ్రామ విస్తీర్ణత ఎంత?
100	షాజహాన్ ఎక్కడ మరణించాడు?
102	దాసరపల్లె గ్రామ విస్తీర్ణం ఎంత?
104	లక్కను ఉత్పత్తి చేసే కీటకం పేరు ఏమిటి ?
105	గిసెప్పి గరిబాల్డి ఏ సంవత్సరంలో మరణించారు ?
106	మహాభారతం లో ఎన్ని పర్వాలు ఉన్నాయి?
108	బెంగాల్ టైగర్ చిత్ర దర్శకుడు ఎవరు?
109	భీమదేవరపల్లి గ్రామ విస్తీర్ణం ఎంత?
110	నారాయణరావుపేట్ గ్రామ విస్తీర్ణత ఎంత?
111	గర్రం గ్రామ విస్తీర్ణం ఎంత?
112	కోటనందూరు మండలంలో మొత్తం ఎన్ని గ్రామాలు ఉన్నాయి?
113	రామాయణంలో ఎన్ని కాండలు కలవు ?
114	పొన్నవరం గ్రామ విస్తీర్ణం ఎంత ?
115	తవాకెల్ కర్మన్ కు నోబెల్ శాంతి బహుమతి ఏ సంవత్సరంలో వచ్చింది?
116	రంగినీని సత్యనారాయణరాజు ఏ సంవత్సరంలో జన్మించాడు?
118	అక్బర్ ఏ రాజ్యానికి రాజు ?
119	ప్రపంచంలో క్రెడిట్ కార్డులను ప్రవేశ పెట్టిన మొదటి బ్యాంకు ఏది?
121	మౌరిటానియ దేశ రాజధాని ఏంటి?
122	పీసుమామిడి నుండి అనకాపల్లి కి ఎంత దూరం?
123	వేప చెట్టును ఆంగ్లంలో ఏమంటారు?
124	ప్రణబ్ కుమార్ ముఖర్జీ ఎక్కడ జన్మించాడు?
125	సానియా మీర్జా ఏ రాష్ట్రంలో జన్మించింది?
127	జనగణమన గీతాన్ని రచించింది ఎవరు ?
128	క్షయ వ్యాధి పై పరిశోధన చేసిన మొదటి శాస్త్రవేత్త ఎవరు?
129	లాంకషైర్ బాయిలరు యొక్క పొడవు ఎంత ?
130	రాంపురం గ్రామ విస్తీర్ణం ఎంత?
132	ఆంధ్రప్రదేశ్ లో నీటి కాలుష్య నియంత్రణ మండలిని ఎప్పుడు ఏర్పాటు చేసారు?
135	భారత దిగువసభలో ఎంతమంది సభ్యులు ఉంటారు?
136	ఆకాశము ఏ రంగులో ఉంటుంది?
137	ద్రాక్ష లో ఎక్కువగా ఉండే విటమిన్ ఏంటి?
139	మధుబాల భర్త పేరేంటి?
140	మహా శివరాత్రి పండుగని  ఏ మత ప్రజలు జరుపుకుంటారు?
141	ఆరేడు గ్రామ విస్తీర్ణత ఎంత?
142	రాంపూర్ గ్రామ విస్తీర్ణత ఎంత?
143	2011 జనగణన ప్రకారం చెన్నారావుపాలెం గ్రామంలో ఎన్ని ఇళ్లులు ఉన్నాయి?
144	యువత చిత్ర దర్శకుడు నిర్మాత ఎవరు?
145	అలుగుమల్లిపాడు గ్రామ విస్తీర్ణం ఎంత?
146	సంతొషపురం గ్రామ విస్తీర్ణత ఎంత?
147	చంద్రుడు భూమి చుట్టూ తిరగడానికి పట్టే సమయం ఎంత?
148	రబ్బీ షెర్గిల్ జననం ఎప్పుడు?
149	అలీ లార్టర్ ఎక్కడ జన్మించింది?
150	కుంటనహళ్ గ్రామ విస్తీర్ణత ఎంత?
151	మడ అరణ్య ప్రాంతం ఎక్కడ ఉంది?
152	2011 జనగణన ప్రకారం పసువేముల గ్రామములో ఎన్ని ఇళ్లులు ఉన్నాయి?
154	2017నాటికి భారతదేశంలో మొత్తం ఎన్ని రాష్ట్రాలు ఉన్నాయి?
155	ఇండియా గేట్ ఎక్కడ ఉంది ?
157	దుమ్ముగూడెం మండలంలో మొత్తం ఎన్ని గ్రామాలు ఉన్నాయి?
158	వెన్నెలవలస గ్రామ పిన్ కోడ్ ఏంటి?
159	జ్యూలియస్ హక్స్‌లీ ఎప్పుడు పుట్టాడు?
160	కదిరినేనిపల్లి గ్రామ పిన్ కోడ్ ఏంటి?
161	మన్నంగిదిన్నె గ్రామ విస్తీర్ణం ఎంత?
162	రిలయన్స్ ఇండస్ట్రీస్ లిమిటెడ్ స్థాపితం ఎప్పుడు?
163	కాకర్ గ్రామ విస్తీర్ణం ఎంత?
164	ఆంధ్రప్రదేశ్ రాష్ట్రం ఎప్పుడు ఏర్పడింది ?
165	ఎలక్ట్రాన్ ఏ విద్యుదావేశాన్ని కలిగి ఉంటుంది?
